,0
0,images/3.1_dig7_20220223-145629.jpg
1,images/8.4_dig4_20220516-053929.jpg
2,images/jomjol_update_20220608/labeled_20220606/1.0_dig6_20220427-065450.jpg
3,images/jomjol_update_20220608/labeled_20220607_46/3.6_0b482a976c66061ec6a1128c09dbc316.jpg
4,images/ziffer_raw/8.2_3_digit7_20210629-094726.jpg
5,images/ziffer_raw/3.1_D8_2020-08-24_13-13-51.jpg
6,images/ziffer_raw/9.1_0_ht3_20210704-074629.jpg
7,images/jomjol_images/5.8_10_ROI5_20210218-110048.jpg
8,images/jomjol_images/0.6.6_dig5_20220429-084534.jpg
9,images/jomjol_images/3.1_NaN_D8_2020-08-24_13-13-51.jpg
10,images/collected/watermeter/Techem/V_DR/labeled_last14days/1_d9b5335ca286add03c01f55f501701db.jpg
11,images/collected/new/4.3_1_dig6_20220603-125954.jpg
12,images/collected/new/4.0_4_dig4_20220531-142910.jpg
